0.0000000000000000000 5.0000000000000000000	-0.0133333333333333333 3.3333333333333333333	-0.0388874489272880287 2.2224622145424065382	-0.0933484361427822078 1.4840016782264135152	-0.2118069666332165668 1.0082266528480462248	-0.4287114521694740039 0.7985265643834246015	-0.5100111547697899194 0.8705820519758288593	-0.5001175255125255195 0.8660034714855282194	-0.5000000022030740185 0.8660253896627384560	-0.4999999999999998488 0.8660254037844387842	|-0.500000000 0.866025404
0.2500000000000000000 0.0000000000000000000	5.5000000000000000000 0.0000000000000000000	3.6776859504132231404 0.0000000000000000000	2.4764356700099432308 0.0000000000000000000	1.7053102539733465843 0.0000000000000000000	1.2514965468300839556 0.0000000000000000000	1.0471544591348051324 0.0000000000000000000	1.0020915413598159741 0.0000000000000000000	1.0000043623776845875 0.0000000000000000000	1.0000000000190302283 0.0000000000000000000	|1.000000000 0.000000000
0.2500000000000000000 0.2500000000000000000	0.1666666666666666667 -2.5000000000000000000	0.0584836539883920258 -1.6596183465163025035	-0.0815824076457388604 -1.0979039737772014560	-0.3263843158699225837 -0.7725830656993385856	-0.5479386961060085671 -0.8548093206479050979	-0.5002976628570385798 -0.8636694554657681963	-0.4999960366958880585 -0.8660294352227906261	-0.4999999999720531963 -0.8660254037689328025	|-0.500000000 -0.866025404
0.2500000000000000000 0.5000000000000000000	-0.4733333333333333333 -0.5200000000000000000	-0.3787596964468571589 -1.0178546479821571350	-0.4663688066569803551 -0.8633144506583245490	-0.5007033846643435695 -0.8650936034381458500	-0.4999986777145622511 -0.8660250697344666216	-0.5000000000015834886 -0.8660254037834627997	|-0.500000000 -0.866025404
0.2500000000000000000 0.7500000000000000000	-0.2600000000000000000 0.1800000000000000000	1.0000000000000000000 3.2400000000000000000	0.6427181715010222199 2.1436604775234400254	0.3729023561127765782 1.3924891175018404844	0.1096643679982854087 0.8481637595525326433	-0.3676451876756897615 0.4495288682606267208	-0.4412135032913605667 1.2684524848552849565	-0.4390598179612204783 0.9603265636993512640	-0.4882873284475672372 0.8663180142428623795	-0.5000613747012350333 0.8659014754257560626	-0.4999999810279036144 0.8660254062141421034	-0.5000000000000000972 0.8660254037844382941	|-0.500000000 0.866025404
0.2500000000000000000 1.0000000000000000000	-0.1101499423298731257 0.5190311418685121107	-1.1553989831260951017 0.8269136722365419014	-0.7170050184518770665 0.7075700729869959877	-0.4736523966369073034 0.8001721796162860378	-0.5012261030354592735 0.8714345419174507284	-0.4999976925934727637 0.8660558626982538830	-0.4999999994170952567 0.8660254045129867207	|-0.500000000 0.866025404
0.2500000000000000000 1.2500000000000000000	-0.0226824457593688363 0.7544378698224852071	-0.5991773107954221906 0.5381100421618436266	-0.3444169321396618129 0.8697314706913862233	-0.5072617429854522315 0.8406205502591767929	-0.4993603687455421352 0.8663458955742317540	-0.4999997976829642627 0.8660249335924298450	-0.5000000000000746922 0.8660254037846897879	|-0.500000000 0.866025404
0.2500000000000000000 1.5000000000000000000	0.0303140978816654492 0.9532505478451424398	-0.3455093697391597788 0.6122165444102366756	-0.5789770969904661826 0.9855660207565852134	-0.5101975810922776922 0.8798878098225500703	-0.5001957477419620067 0.8662387541688522623	-0.5000000687048707998 0.8660254517713967464	-0.5000000000000069193 0.8660254037844398500	|-0.500000000 0.866025404
0.2500000000000000000 1.7500000000000000000	0.0642666666666666667 1.1368000000000000001	-0.2126308073775031682 0.7288885098238638048	-0.6292716813674155251 0.7968194255226679429	-0.4944569433971317790 0.8457489463247928696	-0.5000012804129159169 0.8664795418964749421	-0.4999998979948177711 0.8660255829114624681	-0.4999999999999575115 0.8660254037844391516	|-0.500000000 0.866025404
0.2500000000000000000 2.0000000000000000000	0.0871400394477317554 1.3131360946745562130	-0.1326836142206903441 0.8499920532775160202	-0.5174229910786602572 0.7039296344345989295	-0.4752917209669204552 0.8861150171180809256	-0.4992220475409411569 0.8653867092449102354	-0.5000009606112288213 0.8660257297651543878	-0.5000000000009506303 0.8660254037840446699	|-0.500000000 0.866025404
0.2500000000000000000 2.2500000000000000000	0.1032123735871505057 1.4857227840571088637	-0.0800320253956214817 0.9697018618326825168	-0.4006808176865074483 0.7041925716408360409	-0.5265306529826224835 0.9059964960649930598	-0.5012996260437754421 0.8677543453631573126	-0.5000032313497803201 0.8660287682692531704	-0.5000000000183913605 0.8660254037960709198	|-0.500000000 0.866025404
0.2500000000000000000 2.5000000000000000000	0.1149070352579812437 1.6562101754729928438	-0.0431745025978593704 1.0874392860691787173	-0.3093363674256721113 0.7472722653666346622	-0.5667271246702312757 0.8583650636520347282	-0.5015890665480641737 0.8619829982161107470	-0.4999818757384615299 0.8660308827723832175	-0.4999999999772286813 0.8660254034266523262	|-0.500000000 0.866025404
0.2500000000000000000 2.7500000000000000000	0.1236674729015497626 1.8254501478097285676	-0.0162201411316129160 1.2035367354406095840	-0.2408110816448296427 0.8085583358626699342	-0.5525526062740860383 0.7952710352271379857	-0.4923683583402942122 0.8633035950268705450	-0.5000617359136761789 0.8660015242879319502	-0.4999999990675040162 0.8660253995033243429	-0.4999999999999999982 0.8660254037844386659	|-0.500000000 0.866025404
0.2500000000000000000 3.0000000000000000000	0.1303923900118906064 1.9939120095124851367	0.0041533205978411366 1.3184019985697826041	-0.1889964574117868604 0.8777264290256317354	-0.5028544278936244690 0.7553348963804753566	-0.4914207325915656398 0.8770438864089081720	-0.4998128191904610245 0.8659758504001427922	-0.5000000323585163603 0.8660253848344319343	-0.4999999999999992819 0.8660254037844374378	|-0.500000000 0.866025404
0.2500000000000000000 3.2500000000000000000	0.1356632064590542099 2.1618685121107266436	0.0199577552747781085 1.4323645231340538044	-0.1490696560227949336 0.9503839258965787286	-0.4422670046422494556 0.7438675345880108746	-0.5074391040871897290 0.8869289949318881215	-0.5000787663041089907 0.8664972253993896239	-0.4999999562398994807 0.8660256282416524818	-0.4999999999999587543 0.8660254037844707974	|-0.500000000 0.866025404
0.2500000000000000000 3.5000000000000000000	0.1398687589648449243 2.3294854286376871343	0.0324793031762620171 1.5456667008857315868	-0.1176858443907160838 1.0245859940335122279	-0.3836888048774255261 0.7541137215465185205	-0.5299092525265681937 0.8791119627276365270	-0.5010094065389452072 0.8658236571316874281	-0.5000001376822611459 0.8660243536350813393	-0.4999999999992076379 0.8660254037852327079	|-0.500000000 0.866025404
0.2500000000000000000 3.7500000000000000000	0.1432766857232359621 2.4968674132665048164	0.0425758276573379003 1.6584823104811160958	-0.0925640655902172525 1.0994409334118543854	-0.3316762589089377636 0.7787432135084700228	-0.5434962866527488196 0.8546257911630186373	-0.5001349525748004906 0.8640424915061669450	-0.4999975696778277083 0.8660285288572146539	-0.4999999999849153912 0.8660254037801863191	|-0.500000000 0.866025404
0.2500000000000000000 4.0000000000000000000	0.1460758931500350750 2.6640827264606579963	0.0508394512396677995 1.7709355433917829438	-0.0721299222280982513 1.1745313322650210866	-0.2869991366923047530 0.8124760054863350844	-0.5406672762932249657 0.8236341159936316624	-0.4970162279028224521 0.8641602642146008117	-0.5000124044376678940 0.8660262476797650600	-0.5000000000947109521 0.8660254036622704816	|-0.500000000 0.866025404
0.2500000000000000000 4.2500000000000000000	0.1484026952041220769 2.8311771700356718193	0.0576905856990989976 1.8831156775873476554	-0.0552746823588576242 1.2496617753172509326	-0.2490498873329513632 0.8519165967079940781	-0.5225301247965000475 0.7958598342989975129	-0.4945510518768602596 0.8680062110169427814	-0.4999939289751773945 0.8659922967616506690	-0.4999999998184977286 0.8660254049027861126	-0.4999999999999999991 0.8660254037844386477	|-0.500000000 0.866025404
0.2500000000000000000 4.5000000000000000000	0.1503573964497041420 2.9981822485207100591	0.0634349155900355695 1.9950875182058880352	-0.0412007181650902746 1.3247437086786847284	-0.2168562462356660398 0.8949542201918808434	-0.4940660943357818528 0.7765732984213540083	-0.4960990938957703240 0.8741156034386825048	-0.4999208792479259600 0.8660380474143238943	-0.5000000013168414664 0.8660253975007381146	-0.4999999999999999668 0.8660254037844386712	|-0.500000000 0.866025404
0.2500000000000000000 4.7500000000000000000	0.1520150992541945199 3.1651201123286834957	0.0682992841576865547 2.1068986358485129577	-0.0293224433522018202 1.3997408201929599287	-0.1894554925538081129 0.9402822673068742818	-0.4603430726729519032 0.7671606871586686988	-0.5028304061478962550 0.8788977775543200806	-0.4999854130791827375 0.8661956223337927988	-0.4999999813250025605 0.8660254262079743486	-0.4999999999999991977 0.8660254037844383614	|-0.500000000 0.866025404
0.2500000000000000000 5.0000000000000000000	0.1534329181203267807 3.3320066417497403624	0.0724550357217654347 2.2185843575890249490	-0.0192018843508737354 1.4746423274383633101	-0.1660103162913158928 0.9870855496796130530	-0.4250722096271629110 0.7668879262191317610	-0.5131559725753764350 0.8789408794400647458	-0.5002894989857276785 0.8661879452017568024	-0.5000001101562789407 0.8660254011647445296	-0.5000000000000055640 0.8660254037844278555	|-0.500000000 0.866025404
0.5000000000000000000 0.0000000000000000000	1.6666666666666666666 0.0000000000000000000	1.2311111111111111111 0.0000000000000000000	1.0406706238357895489 0.0000000000000000000	1.0015687495706436190 0.0000000000000000000	1.0000024558377520090 0.0000000000000000000	1.0000000000060311193 0.0000000000000000000	|1.000000000 0.000000000
0.5000000000000000000 0.2500000000000000000	0.9733333333333333334 -0.6866666666666666667	0.7276781910966744866 -0.2364583556052402194	0.9457422527818050310 0.1770610334795816268	0.9661659903843290904 -0.0122129485788767561	1.0010275311502484870 0.0008827858293568921	1.0000002782606415645 0.0000018113705864449	0.9999999999967963692 0.0000000000010080736	|1.000000000 0.000000000
0.5000000000000000000 0.5000000000000000000	0.3333333333333333333 -0.3333333333333333333	0.2222222222222222223 1.2777777777777777778	-0.0383816052396138247 0.7849483925470795263	-0.5627217926922572003 0.5759532859725538550	-0.3870940919011623488 0.8979334368715929297	-0.4974191000151602078 0.8520994936555282532	-0.4999667588701613096 0.8662268998995897603	-0.4999999686622873025 0.8660254312903921956	-0.4999999999999986198 0.8660254037844375895	|-0.500000000 0.866025404
0.5000000000000000000 0.7500000000000000000	0.1755424063116370809 0.1213017751479289941	2.7061406012840482020 -6.7673381736994231354	1.7995488252292224948 -4.5072320522546001518	1.1894386153035263670 -2.9950743725071750298	0.7696072329591012463 -1.9746958204872714684	0.4584322482192751818 -1.2662466270915908254	0.1644184803090142241 -0.7264993324672257533	-0.4326231495449437529 -0.2256502182100915783	0.5128009039134025796 -1.2986015583699799444	0.2170039122706198399 -0.7489022234392782878	-0.3186851974563017359 -0.2061298912676086852	0.7364548765403718094 -2.2479248274964722075	0.4429468828806741610 -1.4633669731555383753	0.1766404496869495999 -0.8964998173081290436	-0.2516420454203868152 -0.4462177368906670927	-0.8249580106689728476 -1.3844010873580734734	-0.6110544258960526294 -1.0358142619176919711	-0.5188414579308652395 -0.8922654295120617523	-0.5006580502210572059 -0.8667790894792948715	-0.5000007903349239154 -0.8660260160732502166	-0.5000000000009630269 -0.8660254037847062862	|-0.500000000 -0.866025404
0.5000000000000000000 1.0000000000000000000	0.1733333333333333333 0.4533333333333333333	-0.9385562279973102330 -0.6418860013448835093	-0.5322071222832283867 -0.6681906110919868638	-0.4569866275367542671 -0.8906793018518465535	-0.4986483767110791236 -0.8639774350046243818	-0.5000036235897229642 -0.8660302370744487207	-0.5000000000252195234 -0.8660254038108120111	|-0.500000000 -0.866025404
0.5000000000000000000 1.2500000000000000000	0.2001585414189456996 0.7065001981767736821	-0.3928894504448214167 0.1467458129078887313	1.1691194330643565601 1.3401424807649196942	0.7651131591982895021 0.7890118377497840452	0.5015904869512561952 0.2501859772516687468	0.9726083033179188841 -0.6807240254388007560	0.7293916542125532279 -0.2315982534631197561	0.9511728353358852009 0.1739448055114472036	0.9675526915789245735 -0.0102105167875908057	1.0009813617411666854 0.0007063776225882652	1.0000004647971983586 0.0000013841748728042	0.9999999999983000998 0.0000000000012867236	|1.000000000 0.000000000
0.5000000000000000000 1.5000000000000000000	0.2266666666666666667 0.9200000000000000000	-0.1776801838599701554 0.4408502434401856027	-1.1815435414484789512 1.3170343482409911208	-0.7992095153529940411 0.9838735616483294409	-0.5753211121156052789 0.8589717072002619172	-0.5022569470645049034 0.8610398397030217945	-0.4999704702288013506 0.8660311153383290879	-0.5000000001275312779 0.8660254028888320077	|-0.500000000 0.866025404
0.5000000000000000000 1.7500000000000000000	0.2478936750919662988 1.1135042126498160674	-0.0666920778675505335 0.6336729259161923705	-0.8475113877965577865 0.5933789578656230277	-0.4584710613016863016 0.6882135201478144619	-0.4934333510729686136 0.9086334493291700144	-0.4987312069415182927 0.8672705327111386224	-0.4999972913065226517 0.8660237796320081210	-0.5000000000099694770 0.8660254037847683761	|-0.500000000 0.866025404
0.5000000000000000000 2.0000000000000000000	0.2641291810841983852 1.2964244521337946943	0.0008406565701866153 0.7897827158196265889	-0.5338341105749035616 0.5253841741102820276	-0.3464100147500910291 0.9443497339475364208	-0.4822416786865366529 0.8425989837677492452	-0.5006314465978195677 0.8666653368469259030	-0.5000006935689644660 0.8660258169425800728	-0.5000000000006514940 0.8660254037844564400	|-0.500000000 0.866025404
0.5000000000000000000 2.2500000000000000000	0.2764936562860438293 1.4734256055363321799	0.0461020063569652173 0.9285126150146667772	-0.3530542957581897073 0.5808028585570333055	-0.5675467264451797978 1.0277237718924146490	-0.5071700079446734589 0.8898328644211629331	-0.5000411893899456757 0.8666228121443592691	-0.4999998652334113002 0.8660257358128066187	-0.4999999999998764567 0.8660254037844736448	|-0.500000000 0.866025404
0.5000000000000000000 2.5000000000000000000	0.2859960552268244576 1.6469428007889546351	0.0783540022158068472 1.0577431820715291569	-0.2408367069404587592 0.6615028978562245023	-0.6757201397031463740 0.8734369959519657379	-0.5191334066213160772 0.8468675319759946975	-0.4993723426397356874 0.8656341083817261308	-0.5000005463040252697 0.8660254405875023331	-0.5000000000001833709 0.8660254037842014620	|-0.500000000 0.866025404
0.5000000000000000000 2.7500000000000000000	0.2933973333333333333 1.8183146666666666667	0.1023247014676223632 1.1813045050026650361	-0.1653397749802850120 0.7467691336319194957	-0.6267720597535190223 0.7383702236650414712	-0.4755614499473596083 0.8428820596389242623	-0.5010626697259706325 0.8665464634025215361	-0.5000013862920110982 0.8660252161190448920	-0.5000000000004926879 0.8660254037825446574	|-0.500000000 0.866025404
0.5000000000000000000 3.0000000000000000000	0.2992451911370830290 1.9883126369612856099	0.1207007639533069944 1.3012741420528028900	-0.1113764603940354107 0.8316180086522582277	-0.5310541321377151468 0.6790036951659183441	-0.4621161338300030191 0.8880472840638030725	-0.4989368554132709984 0.8644302702574411223	-0.5000022364081671938 0.8660283314523348806	-0.5000000000095556225 0.8660254037940775326	|-0.500000000 0.866025404
0.5000000000000000000 3.2500000000000000000	0.3039304130887544968 2.1574002918017084879	0.1351299407753690879 1.4188660017950905200	-0.0710506466243656816 0.9149369488080777202	-0.4384304943665057478 0.6710635607244883899	-0.5006710859719511874 0.9224511023304367188	-0.4986610657111572398 0.8686943234779537759	-0.4999911681980948385 0.8660264735624890271	-0.5000000000220628897 0.8660254037084304765	|-0.500000000 0.866025404
0.5000000000000000000 3.5000000000000000000	0.3077333333333333333 2.3258666666666666667	0.1466811984813670300 1.5348286996441523912	-0.0398944955699623154 0.9966604610098416315	-0.3605585132860057592 0.6912190044966568992	-0.5541943027654367585 0.9105910348336436032	-0.5042333576972824113 0.8676175608919229778	-0.5000193023381785263 0.8660189230992691378	-0.4999999999486353603 0.8660254033730555928	|-0.500000000 0.866025404
0.5000000000000000000 3.7500000000000000000	0.3108572808807358110 2.4938979043115119848	0.1560783195170830990 1.6496434558567353796	-0.0151962116903193170 1.0769934949847858367	-0.2973366073700721204 0.7261021360714668567	-0.5841611734923035140 0.8638292391871168506	-0.5035898908769456820 0.8603679960074389260	-0.4999551101724162526 0.8660212795149235443	-0.5000000013196814200 0.8660254022390638913	-0.4999999999999999962 0.8660254037844386453	|-0.500000000 0.866025404
0.5000000000000000000 4.0000000000000000000	0.3134516765285996055 2.6616173570019723866	0.1638281300135738187 1.7636300844751045343	0.0047859300854112677 1.1561824448272997270	-0.2461561109549004036 0.7687239571813965183	-0.5805591682617219484 0.8096641619979040256	-0.4947963118992696138 0.8578347685895469018	-0.5000545661845044181 0.8661036541988214275	-0.5000000058219134439 0.8660254107776625131	-0.5000000000000000630 0.8660254037844387005	|-0.500000000 0.866025404
0.5000000000000000000 4.2500000000000000000	0.3156278271538787095 2.8291088616834985459	0.1702953346936713300 1.8770070948754957551	0.0212227560241943683 1.2344494763957476114	-0.2043995955836523305 0.8154495023831480662	-0.5521536229334783583 0.7661022986941936320	-0.4863157401542321809 0.8653308280812501228	-0.5001085478129046865 0.8658699482268232486	-0.4999999645784634165 0.8660253976259951582	-0.5000000000000009862 0.8660254037844378111	|-0.500000000 0.866025404
0.5000000000000000000 4.5000000000000000000	0.3174697600634542931 2.9964306960142772160	0.1757483772348768815 1.9899273427695442669	0.0349310001539818261 1.3119782820884978389	-0.1699548708238679871 0.8643548653803309935	-0.5108812519644133263 0.7388729649919306609	-0.4864513133738774390 0.8790589507964761162	-0.4996984087348823580 0.8658453789147596797	-0.5000001233652716191 0.8660254073473218508	-0.5000000000000083645 0.8660254037844259173	|-0.500000000 0.866025404
0.5000000000000000000 4.7500000000000000000	0.3190417213986363921 3.1636241946581597547	0.1803886795206669809 2.1024999679883801381	0.0464979826270919009 1.3889157811923699911	-0.1412147524589531737 0.9144002301599961309	-0.4653791345290816415 0.7270648071015141429	-0.4975579570362445347 0.8909117672316063894	-0.4996077596338159241 0.8664908335460580900	-0.4999996524083238388 0.8660252758871364907	-0.5000000000001292313 0.8660254037843926358	|-0.500000000 0.866025404
0.5000000000000000000 5.0000000000000000000	0.3203934254811619776 3.3307192105349148776	0.1843699028720478683 2.2148043149275486723	0.0563568688975795650 1.4653780019322708555	-0.1169729867824319399 0.9650138482409026765	-0.4205242638217931177 0.7276225680861291440	-0.5159659604153043256 0.8940201897301300182	-0.5004889007639409471 0.8668928354697078530	-0.5000004772134539283 0.8660262713434264469	-0.5000000000004546242 0.8660254037853072556	|-0.500000000 0.866025404
0.7500000000000000000 0.0000000000000000000	1.0925925925925925925 0.0000000000000000000	1.0076251680196906664 0.0000000000000000000	1.0000575576351810590 0.0000000000000000000	1.0000000033126271437 0.0000000000000000000	1.0000000000000000110 0.0000000000000000000	|1.000000000 0.000000000
0.7500000000000000000 0.2500000000000000000	0.9266666666666666667 -0.1533333333333333333	0.9754730870558012409 0.0194840255174373150	1.0002028700230449291 -0.0009934801790123354	0.9999990549443992662 -0.0000004042372936456	1.0000000000007297228 0.0000000000007640548	|1.000000000 0.000000000
0.7500000000000000000 0.5000000000000000000	0.6577909270216962525 -0.0453648915187376726	1.1979979841140230845 0.0750119374752208836	1.0282071549667334336 0.0211495641352827796	1.0003668193351220031 0.0011398325210410881	0.9999988371798418090 0.0000008375830029270	1.0000000000006506042 -0.0000000000019479205	|1.000000000 -0.000000000
0.7500000000000000000 0.7500000000000000000	0.5000000000000000000 0.2037037037037037037	1.1512931949250288351 -0.6633227903797684651	0.8622254713078050582 -0.2788733827206622987	0.9038440150732224625 0.0517878506312209647	1.0065955958032562671 -0.0119272857648295771	0.9999045868082794466 -0.0001574710195571231	0.9999999842982483172 0.0000000300501514104	0.9999999999999993435 -0.0000000000000009437	|1.000000000 -0.000000000
0.7500000000000000000 1.0000000000000000000	0.4402666666666666667 0.4618666666666666667	0.2543294813586118207 -0.5098386696695080403	-0.4480742671065513385 0.4804410972052263123	-0.3524956848521379231 1.0907498157457248015	-0.4407006802892158637 0.8756249017239630641	-0.5004653340621478908 0.8623502381545588325	-0.4999903253873540079 0.8660352130404799092	-0.4999999998343145554 0.8660254036918131891	|-0.500000000 0.866025404
